name,record,height,weight,reach,stance,dob,slpm,str_ acc__%,sapm,str_ def_%,td avg.,td acc__%,td def__%,sub. avg.,cluster
Alexander Hernandez,Record: 14-8-0,175.26,65.77,182.88,Orthodox,"Oct 01, 1992",4.33,41,4.66,55,1.06,31,59,0.1,4
Chepe Mariscal,Record: 16-6-1,170.18,65.77,175.26,Orthodox,"Oct 27, 1992",4.7,52,3.68,52,2.35,28,66,0.4,4
Morgan Charriere,Record: 19-10-1,172.72,65.77,175.26,Orthodox,"Oct 26, 1995",3.98,49,4.24,55,1.59,40,87,0.8,4
Ignacio Bahamondes,Record: 15-5-0,190.5,70.31,190.5,Orthodox,"Aug 27, 1997",7.15,46,4.38,57,0.0,0,85,0.4,4
Christos Giagos,Record: 20-12-0,177.8,70.31,180.34,Orthodox,"Jan 23, 1990",3.03,41,3.21,50,2.84,36,52,0.4,2
Charlie Campbell,Record: 9-2-0,182.88,70.31,182.88,Orthodox,"Jul 03, 1995",5.55,54,3.73,55,2.95,40,71,0.0,4
Trevor Peek,Record: 9-2-0 (1 NC),175.26,70.31,177.8,Unorthodox,"Jan 09, 1995",4.58,54,4.17,44,1.82,53,54,0.0,4
Alex Morono,Record: 24-9-0 (1 NC),180.34,77.11,182.88,Orthodox,"Aug 16, 1990",4.87,40,4.16,58,0.32,22,55,0.4,4
Court McGee,Record: 22-13-0,180.34,77.11,190.5,Orthodox,"Dec 12, 1984",4.6,37,3.62,61,1.84,25,69,0.4,4
Lukasz Brzeski,Record: 9-4-1 (1 NC),193.04,107.05,198.12,Orthodox,"May 17, 1992",4.78,49,3.15,56,0.48,50,36,0.5,4
Valter Walker,Record: 11-1-0,198.12,120.2,198.12,Orthodox,"Dec 14, 1997",2.2,49,3.87,43,4.0,80,0,0.0,2
Norma Dumont,Record: 11-2-0,170.18,61.23,170.18,Orthodox,"Oct 01, 1990",3.11,49,1.89,66,1.91,68,72,0.0,2
Germaine de Randamie,Record: 10-5-0,175.26,61.23,180.34,Orthodox,"Apr 24, 1984",2.57,46,2.0,65,0.0,0,65,0.4,1
Victor Hugo,Record: 25-4-0,170.18,61.23,180.34,Orthodox,"Nov 22, 1992",3.46,51,2.25,61,0.67,50,87,1.4,2
Pedro Falcao,Record: 16-4-0,167.64,61.23,167.64,Orthodox,"Jul 30, 1992",2.9,48,2.63,48,2.07,22,83,0.0,4
Jean Matsumoto,Record: 15-0-0,167.64,61.23,172.72,Orthodox,"Sep 09, 1999",4.76,38,4.52,51,1.2,50,56,0.6,4
Dan Argueta,Record: 9-2-0 (2 NC),170.18,61.23,172.72,Unorthodox,"Aug 13, 1993",2.18,45,1.9,51,4.45,48,57,1.6,2
Cesar Almeida,Record: 5-0-0,185.42,83.91,187.96,Orthodox,"Mar 28, 1988",4.5,64,1.31,50,0.0,0,62,0.0,4
Dylan Budka,Record: 7-3-0,182.88,83.91,190.5,Unorthodox,"Jan 14, 2000",1.04,60,1.8,34,3.38,38,100,0.7,2
Nora Cornolle,Record: 8-1-0,170.18,61.23,170.18,Orthodox,"Dec 06, 1989",3.29,59,1.26,56,0.0,0,50,0.0,4
Melissa Mullins,Record: 6-1-0,170.18,61.23,172.72,Orthodox,"Jul 23, 1991",2.73,52,3.64,47,0.65,20,75,0.0,4
Manon Fiorot,Record: 12-1-0,170.18,56.7,165.1,Orthodox,"Feb 17, 1990",6.26,41,3.77,68,1.17,42,93,0.0,4
Erin Blanchfield,Record: 12-2-0,162.56,56.7,167.64,Orthodox,"May 04, 1999",5.47,45,4.34,58,2.05,33,81,1.0,4
Vicente Luque,Record: 22-10-1,180.34,77.11,190.5,Orthodox,"Nov 27, 1991",5.07,52,5.21,52,1.0,53,62,0.6,4
Chris Weidman,Record: 16-7-0,187.96,83.91,198.12,Orthodox,"Jun 17, 1984",3.18,45,3.22,51,3.44,42,65,0.8,2
Bruno Silva,Record: 13-5-2 (1 NC),162.56,56.7,165.1,Orthodox,"Mar 16, 1990",3.05,46,3.09,59,2.57,30,64,0.3,2
Sedriques Dumas,Record: 9-2-0,187.96,83.91,200.66,Orthodox,"Aug 06, 1995",1.76,45,2.14,57,0.71,50,40,0.4,2
Kyle Nelson,Record: 16-5-1,180.34,65.77,180.34,Unorthodox,"Apr 20, 1991",3.65,45,4.69,52,1.1,20,73,0.6,4
Bill Algeo,Record: 18-8-0,182.88,65.77,185.42,Unorthodox,"Jun 09, 1989",6.16,52,4.52,47,0.86,46,56,0.1,4
Chidi Njokuani,Record: 23-10-0 (1 NC),190.5,77.11,203.2,Orthodox,"Dec 31, 1988",4.09,61,2.94,55,0.0,0,74,0.2,4
Rhys McKee,Record: 13-6-1,187.96,77.11,198.12,Orthodox,"Sep 10, 1995",4.8,45,7.85,42,0.0,0,41,0.0,4
Nate Landwehr,Record: 18-5-0,175.26,65.77,182.88,Orthodox,"Jun 06, 1988",6.25,46,5.75,55,1.0,41,86,1.0,4
Jamall Emmers,Record: 20-8-0,177.8,65.77,187.96,Orthodox,"Jul 24, 1989",5.3,48,4.05,57,1.83,40,90,0.2,4
Virna Jandiroba,Record: 20-3-0,160.02,52.16,162.56,Orthodox,"May 30, 1988",2.3,38,2.96,57,2.36,36,73,1.2,2
Loopy Godinez,Record: 12-4-0,157.48,52.16,154.94,Orthodox,"Sep 06, 1993",4.13,48,3.58,63,3.04,46,84,1.0,2
Julio Arce,Record: 19-6-0,170.18,65.77,177.8,Unorthodox,"Oct 27, 1989",4.36,36,3.05,68,0.46,28,96,0.3,4
Herbert Burns,Record: 11-5-0,175.26,65.77,185.42,Orthodox,"Feb 02, 1988",1.73,40,4.6,41,3.0,42,66,2.5,2
Dennis Buzukja,Record: 12-4-0,175.26,65.77,177.8,Unorthodox,"Oct 01, 1997",4.16,42,5.09,45,0.8,30,72,0.3,4
Connor Matthews,Record: 7-2-0,172.72,65.77,180.34,Unorthodox,"May 31, 1992",5.3,44,6.19,56,2.97,53,50,0.7,4
Ibo Aslan,Record: 13-1-0,190.5,92.99,195.58,Orthodox,"Apr 23, 1996",6.83,45,4.53,64,0.0,0,100,0.0,4
Anton Turkalj,Record: 8-4-0,193.04,92.99,198.12,Orthodox,"Jun 10, 1996",2.45,42,3.42,54,4.98,41,16,0.0,2
Jacob Malkoun,Record: 8-3-0,175.26,83.91,185.42,Orthodox,"Aug 26, 1995",3.86,56,2.48,52,6.62,42,20,0.4,2
Andre Petroski,Record: 10-4-0,182.88,83.91,185.42,Unorthodox,"Jun 12, 1991",3.5,49,3.08,51,4.32,54,80,2.3,2
Caolan Loughran,Record: 9-1-0,167.64,61.23,172.72,Orthodox,"May 18, 1996",6.27,47,5.73,56,2.5,33,0,0.0,4
Angel Pacheco,Record: 7-3-0,172.72,61.23,177.8,Orthodox,"Jan 13, 1992",9.5,39,11.47,41,0.0,0,28,0.0,4
Rose Namajunas,Record: 13-6-0,165.1,56.7,165.1,Orthodox,"Jun 29, 1992",3.69,41,3.51,63,1.38,47,59,0.5,4
Amanda Ribas,Record: 12-5-0,160.02,56.7,167.64,Orthodox,"Aug 26, 1993",4.63,40,3.4,61,2.07,51,85,0.7,4
Karl Williams,Record: 10-1-0,190.5,106.59,200.66,Orthodox,"Jan 06, 1990",2.87,52,1.7,60,4.75,50,100,0.2,2
Justin Tafa,Record: 7-4-0 (1 NC),182.88,119.75,187.96,Unorthodox,"Dec 13, 1993",4.09,54,5.02,47,0.0,0,50,0.0,4
Edmen Shahbazyan,Record: 13-4-0,187.96,83.91,190.5,Orthodox,"Nov 20, 1997",3.6,52,4.09,45,2.24,38,63,0.6,2
AJ Dobson,Record: 7-3-0 (1 NC),185.42,83.91,193.04,Orthodox,"Jan 18, 1992",4.29,46,5.31,46,1.67,75,65,0.3,4
Payton Talbott,Record: 8-0-0,177.8,61.23,177.8,Unorthodox,"Sep 09, 1998",8.05,54,3.58,51,0.0,0,90,0.5,4
Cameron Saaiman,Record: 9-2-0,172.72,61.23,170.18,Unorthodox,"Dec 20, 2000",5.32,46,4.18,51,0.91,28,47,0.7,4
Youssef Zalal,Record: 14-5-1,177.8,65.77,182.88,Unorthodox,"Sep 04, 1996",2.88,49,1.73,65,2.28,34,60,1.3,2
Billy Quarantillo,Record: 18-6-0,177.8,65.77,177.8,Orthodox,"Dec 08, 1988",7.36,56,5.57,43,1.24,23,61,1.1,4
Fernando Padilla,Record: 16-5-0,185.42,65.77,193.04,Orthodox,"Dec 15, 1996",6.48,42,5.25,53,0.0,0,100,0.8,4
