name,record,Height:,Weight:,Reach:,STANCE:,DOB:,SLpM:,Str. Acc.:,SApM:,Str. Def:,Unnamed: 11,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:,url
Derrick Lewis,Record: 28-12-0 (1 NC),"6' 3""",260 lbs.,"79""",Orthodox,"Feb 07, 1985",2.48,50%,2.48,40%,,0.57,26%,52%,0.0,http://www.ufcstats.com/fighter-details/d3df1add9d9a7efb
Rodrigo Nascimento,Record: 11-2-0 (1 NC),"6' 2""",246 lbs.,"80""",Orthodox,"Nov 26, 1992",4.05,49%,4.62,43%,,1.23,37%,76%,0.6,http://www.ufcstats.com/fighter-details/d31a5546c0e9b213
Joaquin Buckley,Record: 19-6-0,"5' 10""",170 lbs.,"76""",Southpaw,"Apr 27, 1994",4.25,36%,3.12,58%,,1.69,44%,69%,0.0,http://www.ufcstats.com/fighter-details/b9437600497350f3
Nursulton Ruziboev,Record: 34-9-2 (2 NC),"6' 5""",170 lbs.,"76""",Orthodox,"Nov 19, 1993",2.5,43%,4.6,49%,,0.77,100%,0%,0.0,http://www.ufcstats.com/fighter-details/49d2a08964c5eb11
Carlos Ulberg,Record: 11-1-0,"6' 4""",205 lbs.,"77""",Orthodox,"Nov 07, 1990",7.41,59%,3.6,52%,,0.95,75%,75%,0.3,http://www.ufcstats.com/fighter-details/9014c02eff8b3d62
Alonzo Menifield,Record: 15-4-1,"6' 0""",205 lbs.,"76""",Orthodox,"Oct 18, 1987",3.92,57%,3.57,49%,,0.67,33%,75%,0.3,http://www.ufcstats.com/fighter-details/a495f599e787614f
Diego Ferreira,Record: 19-5-0,"5' 9""",155 lbs.,"74""",Orthodox,"Jan 18, 1985",5.04,39%,3.43,56%,,0.96,30%,60%,0.6,http://www.ufcstats.com/fighter-details/f53d4f21d1b5f2dc
Mateusz Rebecki,Record: 19-2-0,"5' 7""",155 lbs.,"66""",Southpaw,"Nov 03, 1992",4.69,48%,4.15,54%,,4.12,75%,33%,1.0,http://www.ufcstats.com/fighter-details/849c5d9979df5357
Sean Woodson,Record: 12-1-1,"6' 2""",145 lbs.,"78""",Orthodox,"Jun 07, 1992",5.58,46%,4.19,58%,,0.66,62%,84%,0.4,http://www.ufcstats.com/fighter-details/4682bc59d5f55145
Alex Caceres,Record: 21-15-0 (1 NC),"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988",4.21,49%,3.09,62%,,0.54,68%,64%,0.7,http://www.ufcstats.com/fighter-details/7aa3d6964eff4877
Waldo Cortes-Acosta,Record: 12-1-0,"6' 4""",260 lbs.,"78""",Orthodox,"Oct 03, 1991",5.64,48%,3.6,52%,,0.55,60%,60%,0.2,http://www.ufcstats.com/fighter-details/fc08099550072fe4
Robelis Despaigne,Record: 5-1-0,"6' 7""",265 lbs.,"84""",Orthodox,"Sep 09, 1988",2.16,54%,3.53,49%,,0.0,0%,25%,0.0,http://www.ufcstats.com/fighter-details/140567899d98978a
Chase Hooper,Record: 14-3-1,"6' 1""",155 lbs.,"74""",Southpaw,"Sep 13, 1999",5.08,52%,3.33,36%,,1.45,24%,55%,2.3,http://www.ufcstats.com/fighter-details/971246648e162f0d
Viacheslav Borshchev,Record: 7-4-1,"5' 11""",155 lbs.,"69""",Orthodox,"Jan 08, 1992",5.18,58%,4.49,54%,,0.0,0%,35%,0.0,http://www.ufcstats.com/fighter-details/19c591115a58982c
Esteban Ribovics,Record: 13-1-0,"5' 10""",155 lbs.,"69""",Orthodox,"Apr 27, 1996",6.2,52%,3.49,53%,,0.93,66%,60%,0.5,http://www.ufcstats.com/fighter-details/323d4ca260dfa0ba
Terrance McKinney,Record: 15-7-0,"5' 10""",155 lbs.,"73""",Switch,"Sep 15, 1994",4.53,50%,2.63,45%,,3.45,36%,85%,1.0,http://www.ufcstats.com/fighter-details/809bd1a871491508
Tabatha Ricci,Record: 10-2-0,"5' 1""",115 lbs.,"61""",Orthodox,"Feb 21, 1995",4.28,37%,4.94,60%,,2.99,35%,77%,0.2,http://www.ufcstats.com/fighter-details/d25240135aee03e5
Tecia Pennington,Record: 13-7-0,"5' 1""",115 lbs.,"60""",Orthodox,"Aug 16, 1989",4.78,47%,3.59,61%,,0.61,14%,65%,0.1,http://www.ufcstats.com/fighter-details/31ef8b67e13495b3
Trey Waters,Record: 9-1-0,"6' 5""",170 lbs.,"77""",Orthodox,"Feb 21, 1995",6.43,44%,5.61,56%,,0.44,33%,85%,0.9,http://www.ufcstats.com/fighter-details/31dbfbe4e7a6727c
Billy Ray Goff,Record: 9-3-0,"5' 10""",170 lbs.,"72""",Switch,"Jun 18, 1998",8.56,46%,5.71,59%,,2.01,17%,100%,0.0,http://www.ufcstats.com/fighter-details/fa07345cc9db5cc9
Charles Johnson,Record: 15-6-0,"5' 9""",125 lbs.,"70""",Switch,"Jan 10, 1991",4.48,52%,3.16,59%,,0.41,23%,67%,0.6,http://www.ufcstats.com/fighter-details/814e5233e2acf2ee
Jake Hadley,Record: 10-3-0,"5' 7""",125 lbs.,"70""",Southpaw,"Aug 03, 1996",3.36,42%,3.56,60%,,0.24,6%,35%,1.7,http://www.ufcstats.com/fighter-details/60a42bf82447c919
Veronica Hardy,Record: 9-4-1,"5' 4""",125 lbs.,"64""",Southpaw,"Oct 30, 1995",3.13,45%,3.75,47%,,1.08,41%,60%,0.3,http://www.ufcstats.com/fighter-details/4798e823ada58fe9
JJ Aldrich,Record: 13-7-0,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",3.88,46%,4.38,60%,,0.66,23%,66%,0.0,http://www.ufcstats.com/fighter-details/6fd953151d981979
Alexandre Pantoja,Record: 28-5-0,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990",4.41,49%,3.97,50%,,2.61,47%,68%,0.8,http://www.ufcstats.com/fighter-details/a0f0004aadf10b71
Steve Erceg,Record: 12-2-0,"5' 8""",125 lbs.,"68""",Orthodox,"Jul 27, 1995",4.52,49%,4.2,52%,,1.24,26%,60%,0.5,http://www.ufcstats.com/fighter-details/32ab52e5de93092d
Jose Aldo,Record: 32-8-0,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986",3.63,46%,3.73,60%,,0.51,53%,91%,0.1,http://www.ufcstats.com/fighter-details/d0f3959b4a9747e6
Jonathan Martinez,Record: 19-5-0,"5' 8""",135 lbs.,"70""",Southpaw,"Apr 20, 1994",4.54,49%,3.87,57%,,0.41,35%,68%,0.1,http://www.ufcstats.com/fighter-details/f2477cf43c4975cc
Anthony Smith,Record: 38-19-0,"6' 4""",205 lbs.,"76""",Orthodox,"Jul 26, 1988",3.23,48%,4.47,46%,,0.49,26%,49%,0.7,http://www.ufcstats.com/fighter-details/d4c9dcd330403612
Vitor Petrino,Record: 11-1-0,"6' 2""",205 lbs.,"77""",Orthodox,"Aug 28, 1997",2.82,45%,2.58,45%,,3.98,66%,71%,0.8,http://www.ufcstats.com/fighter-details/71171fc96445bf65
Michel Pereira,Record: 31-11-0 (2 NC),"6' 1""",185 lbs.,"73""",Orthodox,"Oct 06, 1993",5.16,54%,3.7,58%,,1.53,55%,94%,0.8,http://www.ufcstats.com/fighter-details/595db60957de51d3
Ihor Potieria,Record: 20-6-0,"6' 3""",185 lbs.,"75""",Southpaw,"May 29, 1996",5.13,50%,5.04,51%,,0.0,0%,57%,0.0,http://www.ufcstats.com/fighter-details/260bd4cef10b033f
Caio Borralho,Record: 16-1-0 (1 NC),"6' 1""",185 lbs.,"75""",Southpaw,"Jan 16, 1993",2.91,60%,2.06,60%,,1.99,63%,76%,0.5,http://www.ufcstats.com/fighter-details/4126a78111c0855a
Paul Craig,Record: 17-8-1,"6' 3""",185 lbs.,"76""",Orthodox,"Nov 27, 1987",2.45,46%,2.97,44%,,1.68,20%,37%,1.6,http://www.ufcstats.com/fighter-details/eabf206b162b3b83
Joanderson Brito,Record: 17-3-1,"5' 8""",145 lbs.,"72""",Orthodox,"Feb 11, 1995",3.35,51%,2.65,46%,,3.11,76%,62%,0.6,http://www.ufcstats.com/fighter-details/791c8437b341fba5
Jack Shore,Record: 17-2-0,"5' 8""",145 lbs.,"71""",Orthodox,"Feb 06, 1995",3.75,58%,2.32,56%,,3.1,38%,76%,0.7,http://www.ufcstats.com/fighter-details/b8a85389d115e35a
Iasmin Lucindo,Record: 16-5-0,"5' 3""",115 lbs.,"66""",Orthodox,"Jan 08, 2002",3.95,46%,3.11,66%,,2.23,53%,80%,0.3,http://www.ufcstats.com/fighter-details/abcf2cc6efc42031
Karolina Kowalkiewicz,Record: 16-8-0,"5' 3""",115 lbs.,"64""",Orthodox,"Oct 15, 1985",5.71,43%,5.55,58%,,0.34,23%,73%,0.2,http://www.ufcstats.com/fighter-details/d7c3816669784109
Myktybek Orolbai,Record: 13-1-1,"5' 10""",155 lbs.,"74""",Orthodox,"Feb 10, 1998",3.02,52%,2.56,47%,,7.44,44%,50%,0.6,http://www.ufcstats.com/fighter-details/bf2c8e01b07d3eb1
Elves Brener,Record: 16-4-0,"5' 10""",155 lbs.,"72""",Orthodox,"Sep 27, 1997",4.19,47%,4.82,52%,,1.59,31%,75%,0.0,http://www.ufcstats.com/fighter-details/48a9a128784d53d1
Drakkar Klose,Record: 15-2-1,"5' 9""",155 lbs.,"70""",Orthodox,"Mar 09, 1988",4.37,55%,3.46,51%,,1.58,26%,69%,0.0,http://www.ufcstats.com/fighter-details/7cbf7c78d3b34218
Joaquim Silva,Record: 13-6-0,"5' 8""",155 lbs.,"69""",Southpaw,"Feb 05, 1989",3.66,43%,4.53,53%,,0.39,50%,69%,0.8,http://www.ufcstats.com/fighter-details/ae7fe94f117f98cf
Mauricio Ruffy,Record: 10-1-0,"5' 11""",155 lbs.,"75""",Orthodox,"Jun 17, 1996",4.88,59%,3.8,59%,,0.0,0%,100%,0.0,http://www.ufcstats.com/fighter-details/9c393e836a852f30
Jamie Mullarkey,Record: 17-8-0,"6' 0""",155 lbs.,"74""",Orthodox,"Aug 17, 1994",4.39,46%,4.53,53%,,2.31,34%,78%,0.1,http://www.ufcstats.com/fighter-details/af9f42e6894047fc
Dione Barbosa,Record: 7-2-0,"5' 6""",125 lbs.,"66""",Orthodox,"May 08, 1992",2.2,54%,2.86,66%,,2.3,25%,0%,3.1,http://www.ufcstats.com/fighter-details/27b388f0aab49780
Ernesta Kareckaite,Record: 5-1-1,"5' 9""",125 lbs.,"71""",Orthodox,"Jul 05, 1998",7.9,42%,6.9,43%,,1.0,66%,86%,0.0,http://www.ufcstats.com/fighter-details/e4faa79383c9f214
Ismael Bonfim,Record: 20-4-0,"5' 8""",155 lbs.,"71""",Orthodox,"Dec 28, 1995",5.8,54%,3.16,70%,,1.07,33%,76%,0.0,http://www.ufcstats.com/fighter-details/eb393afdbe3293d5
Vinc Pichel,Record: 14-4-0,"5' 10""",155 lbs.,"72""",Orthodox,"Nov 23, 1982",3.62,46%,3.05,55%,,2.78,54%,25%,0.2,http://www.ufcstats.com/fighter-details/c77a953488e5607d
Alessandro Costa,Record: 14-4-0,"5' 4""",125 lbs.,"67""",Orthodox,"Jan 28, 1996",4.14,47%,3.5,57%,,0.27,12%,90%,0.0,http://www.ufcstats.com/fighter-details/3fa97913cfd205d3
Kevin Borjas,Record: 9-3-0,"5' 5""",125 lbs.,"68""",Orthodox,"Dec 06, 1997",4.92,40%,6.7,49%,,0.0,0%,61%,0.0,http://www.ufcstats.com/fighter-details/34b96d52db1d26e6
Alex Perez,Record: 25-8-0,"5' 6""",125 lbs.,"65""",Orthodox,"Mar 21, 1992",4.1,45%,3.13,59%,,2.06,44%,82%,0.9,http://www.ufcstats.com/fighter-details/ab2b4ff41d6ebe0f
Matheus Nicolau,Record: 19-5-1,"5' 6""",125 lbs.,"66""",Orthodox,"Jan 06, 1993",3.62,52%,3.19,66%,,1.38,45%,93%,0.8,http://www.ufcstats.com/fighter-details/1a31ef98efce7a79
Bogdan Guskov,Record: 16-3-0,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 12, 1992",3.13,48%,3.7,47%,,0.0,0%,66%,0.0,http://www.ufcstats.com/fighter-details/ef5dcb10d2bd4b0f
Ryan Spann,Record: 21-10-0,"6' 5""",205 lbs.,"79""",Orthodox,"Aug 24, 1991",3.25,40%,3.89,44%,,1.34,35%,47%,1.5,http://www.ufcstats.com/fighter-details/a67f5afa8d6a1b80
Karine Silva,Record: 18-4-0,"5' 5""",125 lbs.,"67""",Orthodox,"Dec 02, 1993",2.67,35%,3.12,49%,,3.59,72%,0%,2.2,http://www.ufcstats.com/fighter-details/9d62c2d8ee151f08
Ariane da Silva,Record: 17-9-0,"5' 6""",125 lbs.,"67""",Orthodox,"Jan 26, 1994",4.1,41%,3.96,53%,,0.56,55%,71%,0.3,http://www.ufcstats.com/fighter-details/6551c64fbcd1a467
Jhonata Diniz,Record: 7-0-0,"6' 4""",254 lbs.,"79""",Orthodox,"Jun 23, 1991",4.31,48%,3.92,45%,,0.0,0%,80%,0.0,http://www.ufcstats.com/fighter-details/25f9a5f3e8a52618
Austen Lane,Record: 12-5-0 (1 NC),"6' 6""",245 lbs.,"80""",Orthodox,"Nov 09, 1987",3.43,46%,2.81,44%,,1.03,20%,0%,0.0,http://www.ufcstats.com/fighter-details/be9bdec19b7e9ffe
David Onama,Record: 12-2-0,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 07, 1994",5.04,48%,5.1,52%,,0.67,17%,52%,0.5,http://www.ufcstats.com/fighter-details/ffe9703408fb5964
Jonathan Pearce,Record: 14-6-0,"6' 0""",145 lbs.,"71""",Switch,"May 01, 1992",5.32,54%,3.43,54%,,5.24,50%,58%,0.8,http://www.ufcstats.com/fighter-details/87c0b1c696ddfb43
Uros Medic,Record: 10-2-0,"6' 1""",170 lbs.,"71""",Southpaw,"Apr 25, 1993",5.51,60%,3.18,58%,,0.38,50%,55%,0.0,http://www.ufcstats.com/fighter-details/681399317dbf4701
Tim Means,Record: 33-16-1 (1 NC),"6' 2""",170 lbs.,"75""",Orthodox,"Feb 20, 1984",5.08,49%,3.64,60%,,1.16,40%,65%,0.2,http://www.ufcstats.com/fighter-details/4b47e71384a9522f
Victor Henry,Record: 24-6-0 (1 NC),"5' 7""",135 lbs.,"68""",Switch,"May 04, 1987",8.34,54%,5.62,47%,,0.0,0%,83%,0.5,http://www.ufcstats.com/fighter-details/eb8d8c2a95cfccb8
Rani Yahya,Record: 28-12-1 (1 NC),"5' 6""",135 lbs.,"67""",Orthodox,"Sep 12, 1984",1.71,38%,2.08,50%,,2.73,30%,29%,1.8,http://www.ufcstats.com/fighter-details/94527830000ab715
Austin Hubbard,Record: 17-7-0,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 22, 1991",4.11,45%,3.74,56%,,1.75,50%,65%,0.0,http://www.ufcstats.com/fighter-details/d2cd7a69cc55e7ed
Michal Figlak,Record: 8-2-0,"5' 10""",155 lbs.,"70""",Orthodox,"Aug 15, 1996",4.0,39%,4.93,52%,,0.5,12%,57%,0.0,http://www.ufcstats.com/fighter-details/b4c57a8c2b773e82
Don'Tale Mayes,Record: 11-6-0 (1 NC),"6' 6""",260 lbs.,"81""",Orthodox,"Jan 16, 1992",3.69,43%,3.96,47%,,0.71,43%,60%,0.0,http://www.ufcstats.com/fighter-details/1a9480fc288e55d7
Caio Machado,Record: 8-3-1,"6' 4""",250 lbs.,"78""",Southpaw,"Jul 20, 1994",6.07,58%,2.73,63%,,0.0,0%,82%,0.0,http://www.ufcstats.com/fighter-details/89839250eb25c9c1
Ketlen Souza,Record: 14-4-0,"5' 3""",115 lbs.,"63""",Orthodox,"Aug 18, 1994",4.78,68%,2.03,60%,,0.9,50%,50%,0.0,http://www.ufcstats.com/fighter-details/8bd4200561c77a62
Marnic Mann,Record: 6-3-0,"5' 0""",115 lbs.,"64""",Southpaw,"Mar 05, 1993",1.47,41%,5.08,31%,,1.9,33%,25%,0.4,http://www.ufcstats.com/fighter-details/b6203e0492a9336c
Chris Padilla,Record: 14-6-0,"5' 9""",155 lbs.,"74""",Orthodox,"Sep 14, 1995",2.64,46%,4.18,52%,,9.89,100%,0%,3.3,http://www.ufcstats.com/fighter-details/06626b6287e1ae1e
James Llontop,Record: 14-3-0,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 02, 1999",4.76,52%,2.1,70%,,0.0,0%,50%,0.0,http://www.ufcstats.com/fighter-details/93b2b7caa457cbea
Ivana Petrovic,Record: 7-1-0,"5' 8""",125 lbs.,"70""",Southpaw,"Jun 11, 1994",2.19,42%,2.45,53%,,2.83,50%,60%,1.7,http://www.ufcstats.com/fighter-details/38c5817ade8a8014
Liang Na,Record: 19-8-0,"5' 5""",125 lbs.,"67""",Orthodox,"Jul 27, 1996",1.99,42%,3.95,36%,,3.6,58%,25%,0.5,http://www.ufcstats.com/fighter-details/ec0dcceace7d25a3
Maheshate,Record: 10-3-0,"6' 0""",155 lbs.,"71""",Orthodox,"Dec 01, 1999",3.9,28%,5.76,53%,,0.0,0%,45%,0.0,http://www.ufcstats.com/fighter-details/8c1ca54b5089d199
Gabriel Benitez,Record: 23-13-0,"5' 8""",155 lbs.,"71""",Southpaw,"Jun 15, 1988",5.26,41%,4.49,63%,,0.22,50%,55%,0.9,http://www.ufcstats.com/fighter-details/436f970c9ea9169c
Alex Pereira,Record: 10-2-0,"6' 4""",205 lbs.,"79""",Orthodox,"Jul 07, 1987",5.1,62%,3.65,50%,,0.18,100%,70%,0.4,http://www.ufcstats.com/fighter-details/e5549c82bfb5582d
Jamahal Hill,Record: 12-2-0 (1 NC),"6' 4""",205 lbs.,"79""",Southpaw,"May 19, 1991",7.18,54%,3.51,46%,,0.0,0%,73%,0.0,http://www.ufcstats.com/fighter-details/5444c5a201d3ee5a
Zhang Weili,Record: 25-3-0,"5' 4""",115 lbs.,"63""",Switch,"Aug 13, 1989",5.66,53%,3.15,53%,,2.51,46%,50%,0.5,http://www.ufcstats.com/fighter-details/1ebe20ebbfa15e29
Yan Xiaonan,Record: 18-4-0 (1 NC),"5' 5""",115 lbs.,"63""",Orthodox,"Jun 16, 1989",4.97,44%,3.66,58%,,1.0,73%,62%,0.0,http://www.ufcstats.com/fighter-details/c41d426cc7326d1b
Max Holloway,Record: 26-7-0,"5' 11""",145 lbs.,"69""",Orthodox,"Dec 04, 1991",7.17,48%,4.72,59%,,0.25,53%,84%,0.3,http://www.ufcstats.com/fighter-details/150ff4cc642270b9
Justin Gaethje,Record: 25-5-0,"5' 11""",155 lbs.,"70""",Orthodox,"Nov 14, 1988",6.78,59%,7.46,52%,,0.11,25%,75%,0.0,http://www.ufcstats.com/fighter-details/9e8f6c728eb01124
Arman Tsarukyan,Record: 22-3-0,"5' 7""",155 lbs.,"72""",Orthodox,"Oct 11, 1996",3.79,48%,1.84,53%,,3.25,37%,75%,0.0,http://www.ufcstats.com/fighter-details/eae48ff31db420c2
Charles Oliveira,Record: 34-10-0 (1 NC),"5' 10""",155 lbs.,"74""",Orthodox,"Oct 17, 1989",3.39,53%,3.2,51%,,2.17,40%,55%,2.8,http://www.ufcstats.com/fighter-details/07225ba28ae309b6
Bo Nickal,Record: 6-0-0,"6' 1""",185 lbs.,"76""",Southpaw,"Jan 14, 1996",1.64,62%,0.5,70%,,7.46,50%,0%,7.5,http://www.ufcstats.com/fighter-details/35673bf5204524ee
Cody Brundage,Record: 10-6-0,"6' 0""",185 lbs.,"72""",Orthodox,"May 16, 1994",1.62,54%,2.3,43%,,2.33,52%,68%,0.9,http://www.ufcstats.com/fighter-details/f14f644d41ade29f
Jiri Prochazka,Record: 30-4-1,"6' 3""",205 lbs.,"80""",Orthodox,"Oct 14, 1992",5.75,56%,5.43,41%,,0.79,60%,68%,0.3,http://www.ufcstats.com/fighter-details/009341ed974bad72
Aleksandar Rakic,Record: 14-4-0,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992",4.26,50%,2.8,50%,,0.76,25%,85%,0.1,http://www.ufcstats.com/fighter-details/333b9e5c723ac873
Aljamain Sterling,Record: 24-4-0,"5' 7""",145 lbs.,"71""",Orthodox,"Jul 31, 1989",4.61,52%,2.3,58%,,2.31,27%,45%,0.7,http://www.ufcstats.com/fighter-details/cb696ebfb6598724
Calvin Kattar,Record: 23-8-0,"5' 11""",145 lbs.,"72""",Orthodox,"Mar 26, 1988",4.76,39%,6.75,54%,,0.39,29%,72%,0.1,http://www.ufcstats.com/fighter-details/751de04455cfaac0
Kayla Harrison,Record: 17-1-0,"5' 8""",135 lbs.,"66""",Southpaw,"Jul 02, 1990",7.52,71%,0.29,83%,,4.42,40%,100%,2.2,http://www.ufcstats.com/fighter-details/1af1170ed937cba7
Holly Holm,Record: 15-7-0 (1 NC),"5' 8""",135 lbs.,"69""",Southpaw,"Oct 17, 1981",3.13,40%,2.92,55%,,0.87,30%,76%,0.1,http://www.ufcstats.com/fighter-details/634e2fb70bde3fd5
Diego Lopes,Record: 24-6-0,"5' 11""",145 lbs.,"72""",Orthodox,"Dec 30, 1994",3.22,58%,4.73,37%,,0.0,0%,42%,5.0,http://www.ufcstats.com/fighter-details/f166e93d04a8c274
Sodiq Yusuff,Record: 13-4-0,"5' 9""",145 lbs.,"71""",Orthodox,"May 19, 1993",5.66,49%,4.51,53%,,0.28,20%,62%,0.4,http://www.ufcstats.com/fighter-details/94426bb170c88115
Renato Moicano,Record: 19-5-1,"5' 11""",155 lbs.,"72""",Orthodox,"May 21, 1989",4.38,48%,3.68,60%,,1.89,45%,72%,0.6,http://www.ufcstats.com/fighter-details/b6452706b373eea1
Jalin Turner,Record: 14-8-0,"6' 3""",155 lbs.,"77""",Southpaw,"May 18, 1995",5.6,48%,4.57,41%,,0.79,55%,74%,1.1,http://www.ufcstats.com/fighter-details/4d8fa64202cee4c1
Jessica Andrade,Record: 26-12-0,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991",6.62,50%,5.37,55%,,2.37,55%,72%,0.3,http://www.ufcstats.com/fighter-details/6a1901c62ab3870f
Marina Rodriguez,Record: 17-4-2,"5' 6""",115 lbs.,"65""",Orthodox,"Apr 29, 1987",4.82,47%,3.12,55%,,0.23,42%,65%,0.2,http://www.ufcstats.com/fighter-details/cd2c4d30c6e13b47
